,domain,url,urlType,R_full_text_Flesch_reading_ease,R_full_text_Flesch_kincaid_grade,R_full_text_smog,R_full_text_gunning_fog,R_full_text_words_per_sentence,R_full_text_capitalized_words,R_full_text_lexicon,R_full_text_urls_counts,R_full_text_long_words,R_full_text_syllables,R_full_text_stop_words,R_full_text_sentences,R_full_text_linsear_write,R_full_text_automated_readability,R_full_text_characters_total,R_full_text_coleman_liax,R_full_text_difficult_words,R_full_text_words_total
0,nutritionfacts.org,https://nutritionfacts.org/audio/fighting-fatigue/,Reliable,59.13,18.9,17.6,16.43887581,12.16296296,110,1202,0,903,2551,10.90133983,135,11.14285714,23.4,9648,20.77,393,1642
1,nutritionfacts.org,https://nutritionfacts.org/audio/new-thoughts-on-a-healthy-weight/,Reliable,65.38,16.5,15.2,15.44326412,14.34210526,75,1233,0,872,2403,10.94801223,114,8.714285714,20.9,9323,18.28,315,1635
2,nutritionfacts.org,https://nutritionfacts.org/audio/the-latest-on-childrens-health/,Reliable,65.37,18.5,16,16.31670459,14.35042735,98,1289,0,928,2559,10.6611078,117,7.75,22.7,9923,19.15,360,1679
3,nutritionfacts.org,https://nutritionfacts.org/audio/beans-beans-the-truth-about-lectins/,Reliable,73.4,18.2,16.2,15.00657499,14.77514793,130,1840,0,1357,3544,7.168602323,169,12,23.7,14145,18.98,443,2497
4,nutritionfacts.org,https://nutritionfacts.org/audio/new-research-on-cholesterol/,Reliable,65.78,20.7,17.7,15.53706075,13.94366197,94,1435,0,1038,2938,9.04040404,142,12,26.4,11351,20.03,394,1980
5,nutritionfacts.org,https://nutritionfacts.org/audio/dealing-with-eczema/,Reliable,66.54,17.6,15.9,15.29346801,13.2,85,1303,0,932,2609,10.04489338,135,15,21.4,10033,18.63,357,1782
6,nutritionfacts.org,https://nutritionfacts.org/audio/womens-health-the-best-diet-for-fibroids/,Reliable,63.59,24,19.4,16.35747077,16.10569106,75,1440,0,1072,3006,9.035840485,123,12,29.2,11436,20.26,392,1981
7,nutritionfacts.org,https://nutritionfacts.org/audio/diet-and-autism/,Reliable,66.08,18.1,16,15.08833159,13.65517241,112,1689,0,1268,3558,7.533670034,174,15,22.6,13800,20.95,453,2376
8,nutritionfacts.org,https://nutritionfacts.org/audio/do-we-need-an-annual-check-up/,Reliable,66.13,18.5,16.6,16.04523359,13.60185185,80,1051,0,780,2210,12.18515997,108,12.2,22.1,8361,19.73,316,1469
9,nutritionfacts.org,https://nutritionfacts.org/audio/your-brain-on-cell-phones/,Reliable,65.58,17.3,16.1,15.87815011,14.14018692,97,1147,0,820,2283,11.83079974,107,12,21,8783,18.98,311,1513
